ptr	Populus trichocarpa
gma	Glycine max
ath	Arabidopsis thaliana
sly	Solanum lycopersicum
cde	Ceratophyllum demersum
mbi	Magnolia biondii
tae	Triticum aestivum
ttu	Triticum turgidum
tdi	Triticum dicoccoides
ata	Aegilops tauschii
hvu	Hordeum vulgare
sce	Secale cereale
lpe	Lolium perenne
bdi	Brachypodium distachyon
ped	Phyllostachys edulis
oal	Oryza alta
osa	Oryza sativa ssp. japonica
obr	Oryza brachyantha
sit	Setaria italica
svi	Setaria viridis
cpu	Cenchrus purpureus
pha	Panicum hallii
dex	Digitaria exilis
msi	Miscanthus sinensis
ssp	Saccharum spontaneum
sbi	Sorghum bicolor
zma	Zea mays
ecu	Eragrostis curvula
oth	Oropetium thomaeum
zjn	Zoysia japonica ssp. nagirizaki
aco	Ananas comosus
mac	Musa acuminata
calsi	Calamus simplicifolius
egu	Elaeis guineensis
aof	Asparagus officinalis
asa	Allium sativum
vpl	Vanilla planifolia
ddu	Dioscorea dumetorum
spo	Spirodela polyrhiza
zosmarina	Zostera marina
atr	Amborella trichopoda
sgi	Sequoiadendron giganteum
smo	Selaginella moellendorffii
aag	Anthoceros agrestis
mpo	Marchantia polymorpha
ppa	Physcomitrium patens
cbr	Chara braunii
pco	Prasinoderma coloniale
cre	Chlamydomonas reinhardtii
mco	Micromonas commoda
